Pos,P+,Days,Pk,(x?),Pts,Pts+,TPts,Artist,Title
1,+117,11,1,(x1),23817,+22499,0.090,Jimin , Be Mine
2,NEW,1,2,(x1),16184,+16184,0.016,Charli xcx & Billie Eilish , Guess
3,-1,78,1,(x3),11791,-1098,0.715,Billie Eilish , BIRDS OF A FEATHER
4,-1,113,1,(x3),11668,-68,1.091,Shaboozey , A Bar Song
5,=,1438,1,(x2),10835,+286,6.926,Disturbed , The Sound of Silence
6,-2,197,1,(x35),10421,-859,2.581,Benson Boone , Beautiful Things
7,-6,9,1,(x2),10342,-3116,0.120,*NSYNC , Bye Bye Bye
8,+1,134,1,(x1),9951,+485,1.257,Hozier , Too Sweet
9,NEW,1,9,,9453,+9453,0.009,Marilyn Manson , As Sick As The Secrets Within
10,-2,43,1,(x1),9284,-194,0.442,Coldplay , feelslikeimfallinginlove
11,-5,390,1,(x6),9091,-1223,3.421,Teddy Swims , Lose Control
12,-2,85,9,,8748,-486,0.635,Myles Smith , Stargazing
13,-1,64,1,(x21),8733,+229,0.837,Eminem , Houdini
14,-3,260,5,,8521,-198,1.901,Cyril , Stumblin' In
15,-2,113,1,(x1),8107,-243,1.101,Sabrina Carpenter , Espresso
16,-1,91,14,,7108,-287,0.359,Chappell Roan ," Good Luck, Babe"
17,-10,15,1,(x9),7071,-2590,0.251,Jimin , Who
18,-2,196,13,,6539,-341,0.781,Teddy Swims , The Door
19,-5,120,3,(x1),6474,-1132,0.970,David Guetta & OneRepublic , I Don't Wanna Wait
20,-3,151,10,,6047,-113,0.973,Dasha , Austin
21,+6,57,9,,5616,+905,0.427,Sabrina Carpenter , Please Please Please
22,+3,90,5,,5393,+347,0.529,Kendrick Lamar , Not Like Us
23,-5,8,11,,5329,-801,0.058,mgk & Jelly Roll , Lonely Road
24,-5,135,11,,5158,-428,0.757,Mark Ambor , Belong Together
25,-1,49,24,,4927,-223,0.161,"Adam Port, Stryv, Keinemusik, Orso & Malachiii ", Move
26,-4,43,22,,4760,-476,0.172,KAROL G , Si Antes Te Hubiera Conocido
27,-1,86,5,,4650,-234,0.557,Post Malone , I Had Some Help
28,-5,37,23,,4592,-575,0.110,"Sevdaliza, Pabllo Vittar & Yseult ", Alibi
29,-9,120,7,,4442,-1118,0.856,"Jaxomy, Agatino Romero & Raffaella CarrÃ  ", Pedro
30,=,449,1,(x6),4300,-167,2.926,Taylor Swift , Cruel Summer
31,NEW,1,31,,4266,+4266,0.004,Jessie Murph & Teddy Swims , Dirty
32,+13,8,32,,4083,+1015,0.023,Hanumankind & Kalmi , Big Dawgs
33,=,8,15,,3992,+169,0.043,Post Malone , Guy For That
34,+5,43,29,,3779,+503,0.143,Ella Langley & Riley Green , you look like you love me
35,-1,79,25,,3757,-26,0.241,Luke Combs , Ain't No Love In Oklahoma
36,+92,2,36,,3754,+2484,0.005,KUN , Remedy
37,-6,130,3,(x1),3710,-452,1.060,Artemas , i like the way you kiss me
38,+4,43,10,,3487,+304,0.204,Post Malone , Pour Me A Drink
39,-10,1786,2,(x18),3330,-1251,7.212,Lady Gaga , Always Remember Us This Way
40,-19,14,21,,3316,-2009,0.179,Madonna , Like a Prayer
41,+9,15,20,,3312,+533,0.067,"HUGEL, Topic & Arash ", I Adore You
42,NEW,1,42,,3247,+3247,0.003,Jelly Roll , Liar
43,-7,5,27,,3057,-370,0.021,Brandon Lake , That's Who I Praise
44,=,52,21,,3010,-112,0.202,Jelly Roll , I Am Not Okay
45,-4,92,19,,2986,-235,0.278,Marshmello & Kane Brown , Miles on It
46,NEW,1,46,,2954,+2954,0.003,Apache 207 , Miami
47,-15,2297,1,(x10),2860,-1076,10.292,Coldplay , A Sky Full of Stars
48,-5,173,1,(x32),2839,-291,1.914,BeyoncÃ© , TEXAS HOLD 'EM
49,-14,3,35,,2834,-634,0.008,JhenÃ© Aiko , Bed Peace
50,+11,21,38,,2822,+781,0.046,MoBlack & Salif KeÃ¯ta , Yamore
51,+5,8,42,,2647,+334,0.021,Shirin David , Bauch Beine Po
52,+2,21,20,,2423,-60,0.081,Eminem & Jelly Roll , Somebody Save Me
53,+2,13,49,,2421,+28,0.031,Charli xcx , Apple
54,-14,2,40,,2368,-854,0.006,Red Velvet , Sweet Dreams
55,NEW,1,55,,2279,+2279,0.002,RÃFÃS DU SOL , Lately
56,+32,22,1,(x3),2279,+732,0.122,Katy Perry , Woman's World
57,-20,106,1,(x6),2250,-1145,0.787,Taylor Swift , Fortnight
58,-1,12,50,,2225,-1,0.029,Megan Thee Stallion , Mamushi
59,-7,98,13,,2225,-422,0.441,Tommy Richman , MILLION DOLLAR BABY
60,+18,29,24,,2059,+424,0.083,Morgan Wallen , Lies Lies Lies
61,-8,133,17,,2004,-582,0.335,Benson Boone , Slow It Down
62,=,9,61,,1983,-37,0.018,YOASOBI , Butai ni tatte
63,NEW,1,63,,1960,+1873,0.002,Zion Foster , Mine
64,-16,568,1,(x119),1900,-1022,6.508,Miley Cyrus , Flowers
65,+36,119,30,,1891,+443,0.225,Mr Belt & Wezol , It's Not Right
66,-38,15,2,(x4),1889,-2811,0.135,Stray Kids , Chk Chk Boom
67,-9,2709,1,(x62),1835,-323,14.942,Ed Sheeran , Perfect
68,+77,386,2,(x1),1798,+633,1.977,Billie Eilish , What Was I Made For
69,-2,114,36,,1777,-32,0.259,floyymenor & Cris Mj , Gata Only
70,NEW,1,70,,1773,+1773,0.002,Lainey Wilson , Good Horses
71,+11,99,35,,1761,+193,0.220,AYLIVA & Apache 207 , Wunder
72,-25,51,28,,1760,-1232,0.169,Christine and the Queens , Full of life
73,-4,35,55,,1722,-58,0.067,Shaboozey , Last Of My Kind
74,-23,240,18,,1715,-979,0.657,ZERB & Sofiya Nzau , Mwaki
75,+54,4,75,,1706,+441,0.008,MOLOW & Chris Norman , Lay Back in the Arms of Someone
76,+10,32,76,,1702,+150,0.046,Kocchi No Kento , Hai Yorokonde
77,-14,4,63,,1684,-334,0.007,Colin , Zebra On the Beach
78,-6,28,55,,1678,-74,0.048,"GEMN, Kento Nakajima & Tatsuya Kitani ", Fatal
79,NEW,1,79,,1670,+1670,0.002,Bryan Adams , Rock And Roll Hell
80,-7,8,21,,1667,-80,0.024,Calvin Harris & Ellie Goulding , Free
81,-13,168,1,(x2),1663,-144,0.988,Dua Lipa , Training Season
82,+53,20,69,,1647,+416,0.038,Alvaro Soler , Te Imaginaba
83,-45,2,38,,1619,-1759,0.005,Madonna , Cherish
84,+5,3,84,,1619,+75,0.005,Houshou marine , Dead Maâamâs Chest
85,-14,16,6,,1603,-156,0.064,JADE , Angel Of My Dreams
86,-6,4,68,,1568,-32,0.007,BUMP OF CHICKEN , Strawberry
87,NEW,1,87,,1564,+1564,0.002,Isi GlÃ¼ck & Julian Benz , Mallekind
88,+20,30,22,,1561,+155,0.060,"Jax Jones, Joel Corry & Jason Derulo ", Tonight
89,NEW,1,89,,1549,+1549,0.002,JEON SOMI , Ice Cream
90,-44,44,31,,1543,-1512,0.135,Taylor Swift , august
91,+91,381,28,,1534,+547,0.883,Ricchi & Poveri , SarÃ  perchÃ© ti amo
92,NEW,1,92,,1522,+1522,0.002,Sonia Liebing ," Nein, Baby"
93,-14,22,56,,1518,-97,0.038,CYRIL , Fall At Your Feet
94,-34,1482,3,(x7),1516,-536,6.374,Sia , Unstoppable
95,+8,14,95,,1514,+89,0.026,BL3SS & CamrinWatsin , Kisses
96,-5,20,68,,1508,-30,0.033,back number , to new lovers
97,-27,71,26,,1497,-280,0.198,Zach Bryan , Pink Skies
98,+22,47,24,,1494,+177,0.117,Kabin Crew , The Spark
99,+6,110,92,,1479,+57,0.153,Mrs. Green Apple , Lilac
100,NEW,4,77,,1478,+1478,0.007,KUN , Spotlight
101,+135,224,20,,1476,+666,2.543,Journey , Don't Stop Believin'
102,=,60,23,,1468,+42,0.167,Cooper Alan , Feel Like Hell Today
103,-38,2757,1,(x111),1467,-378,10.551,Adele , Hello
104,-30,6,51,,1455,-289,0.014,Lost Frequencies & Tom Odell , Black Friday
105,+32,269,10,,1447,+222,0.972,Noah Kahan , Stick Season
106,-23,40,83,,1422,-146,0.076,Tones And I , Down Under
107,-9,2,98,,1422,-57,0.003,MONOEYES , Adrenaline
108,NEW,1,108,,1411,+861,0.002,Stell , Anino
109,NEW,3,93,,1408,+1408,0.007,KUN , RIDE OR DIE
110,-15,677,3,(x4),1402,-91,3.890,Rema & Selena Gomez , Calm Down
111,-7,3,104,,1395,-27,0.004,Roger Whittaker , Roger Whittaker - Stereoact Hitmix
112,NEW,9,88,,1368,+632,0.021,VAUNDY , Homunculus
113,NEW,1,113,,1365,+1365,0.004,KUN , Wait Wait Wait
114,-15,9,19,,1355,-121,0.027,XG , SOMETHING AIN'T RIGHT
115,NEW,1,115,,1347,+1347,0.001,HIMEHINA , Tears
116,NEW,1,116,,1344,+1344,0.001,Mimi Webb , Erase You
117,-24,4,93,,1341,-167,0.006,GLAY , Kaishin no ichigeki
118,NEW,1,118,,1339,+1339,0.001,KUN , Hard To Get
119,-44,95,75,,1326,-417,0.968,The Goo Goo Dolls , Iris
120,+49,40,102,,1303,+245,0.100,SANTA , Recommence-moi
121,-27,2744,2,(x14),1303,-192,11.444,Ed Sheeran , Thinking Out Loud
122,NEW,11,55,,1296,+868,0.037,Stephanie Rainey , Please Don't Go
123,=,58,71,,1291,-10,0.081,Tananai & Annalisa , STORIE BREVI
124,+7,105,113,,1290,+25,0.367,Mrs. Green Apple , Ao To Natsu
125,-76,937,1,(x47),1268,-1534,8.292,Taylor Swift , Shake It Off
126,NEW,4,68,,1267,+1267,0.007,Fujii Kaze , Feelinâ Go(o)d
127,+7,2,127,,1265,+24,0.004,"Hatsuboshi Gakuen, Lilja Katsuragi, Saki Hanami & Kotone Fujita ", Kamurogiku
128,-21,42,47,,1256,-155,0.077,Tommy Richman , DEVIL IS A LIE
129,NEW,1,129,,1246,+595,0.002,Stell , Classic
130,NEW,1,130,,1244,+1244,0.001,Keith Urban , HEART LIKE A HOMETOWN
131,-39,550,26,,1243,-292,1.447,Udo Lindenberg & Apache 207 , Komet
132,+12,105,99,,1241,+71,0.133,Da,iCE - I wonder
133,NEW,1,133,,1238,+727,0.002,Stell , âDi Ko Masabi
134,-21,19,106,,1236,-111,0.026,Roxy Dekker , Gaan We Weg
135,-35,2567,1,(x110),1236,-239,12.552,Ed Sheeran , Shape of You
136,+23,6,11,,1223,+121,0.032,Cerrone , Supernature
137,-1,48,74,,1218,-9,0.091,The Kolors , KARMA
138,+2,84,80,,1217,+1,0.203,Morgan Wallen , Cowgirls
139,-75,26,64,,1202,-702,0.053,Chappell Roan , HOT TO GO
140,-74,356,15,,1201,-614,1.104,BENNETT , Vois sur ton chemin
141,NEW,1,141,,1194,+1194,0.001,Khalid , Heatstroke
142,-32,81,19,,1193,-173,0.130,"Majestic, The Jammin Kid & CÃ©line Dion ", Set My Heart On Fire
143,-13,7,118,,1193,-72,0.018,Tones And I , I Made It
144,-19,5,90,,1193,-97,0.007,Aimyon , Zarame
145,+1,19,48,,1178,+22,0.036,Lainey Wilson , Out of Oklahoma
146,NEW,1,146,,1169,+1169,0.001,"Gabry Ponte, Steve Aoki & KEL ", He's A Pirate
147,NEW,5,38,,1168,+498,0.016,Stell , Room
148,NEW,1,148,,1165,+1165,0.001,David Guetta & AFROJACK , Raving
149,+3,278,1,(x3),1161,+43,1.208,Taylor Swift , Love Story
150,NEW,1,150,,1148,+842,0.001,åç°ä¾æª with å°å®¤å²å , Jump to the Breeze
151,+5,15,75,,1148,+44,0.022,Salvatore Mancuso & Max Niklas ," Baby, You're the One"
152,-10,209,5,,1148,-45,0.527,Creepy Nuts , Bling-Bang-Bang-Born
153,-57,2363,1,(x20),1126,-366,11.035,Mark Ronson , Uptown Funk
154,+38,16,86,,1118,+173,0.039,Southern All Stars , Koi no Boogie-Woogie Night
155,NEW,1,155,,1111,+1111,0.001,Anstandslos & Durchgeknallt & Vivi Minu , Paradies
156,-6,18,57,,1110,-37,0.526,Alphaville , Forever Young
157,-67,261,1,(x14),1109,-434,1.860,Dua Lipa , Houdini
158,+44,1,158,,1106,+203,0.002,Frank Ocean , Pink Matter
159,+9,23,32,,1104,+42,0.042,ONE OK ROCK , Delusion:All
160,-76,532,14,,1094,-465,1.590,Morgan Wallen , Last Night
161,+30,7,87,,1092,+147,0.009,"Sonny Fodera, Jazzy & D.O.D ", Somedays
162,NEW,1,162,,1083,+1083,0.001,"MOGUAI, David Puentez & Salvatore Mancuso ", Your Love
163,-22,4,100,,1083,-125,0.006,Ryokuoushoku Shakai , Ienai
164,-50,22,4,,1082,-264,0.077,Calum Scott , Roots
165,-43,8,50,,1080,-232,0.236,Darude , Sandstorm
166,-47,39,82,,1076,-241,0.082,GIMS & DYSTINCT , SPIDER
167,-55,96,29,,1074,-282,0.202,Eclipse , Sudden Shower
168,+30,62,53,,1070,+143,0.112,MY FIRST STORY & HYDE , MUGEN
169,NEW,63,63,,1068,+618,0.777,4 Non Blondes , What's Up
170,+6,28,93,,1062,+60,0.034,OFFICIAL HIGE DANDISM , Sharon
171,-16,2,155,,1061,-44,0.004,Sub Focus , Wildfire
172,NEW,1,172,,1059,+1059,0.001,Kacey Musgraves , Arm's Length
173,NEW,1,173,,1056,+420,0.003,RAF Camora , Anthrazit Forever
174,+11,215,14,,1054,+89,0.615,Natasha Bedingfield , Unwritten
175,-13,45,98,,1052,-27,0.071,Alessandra Amoroso , Mezzo Rotto
176,+46,2642,1,(x1),1048,+195,16.968,Adele , Rolling In the Deep
177,+49,5,157,,1047,+205,0.007,"Noko Shikanoko (CV: Megumi Han), Torako Koshi (CV: Saki Fujita), èè¦é¤¡å­ (CV.ç°è¾ºçä¾) & é¦¬è»è½ãã (CV.åæ³é¢¨è±) ", Shikairo Days
178,NEW,5,28,,1045,+1045,0.012,KUN , Afterglow
179,NEW,1,179,,1041,+547,0.004,Lindsey Stirling , Eye Of The Untold Her
180,-42,89,40,,1041,-176,0.148,"SDP, Sido & Esther Graf ", Mama hat gesagt
181,+5,34,48,,1041,+77,0.053,YOASOBI , UNDEAD
182,+61,9,52,,1040,+240,0.032,Charli XCX , 360
183,NEW,1,183,,1040,+1040,0.001,Oscar and the Wolf , Oh Boy
184,+25,21,113,,1039,+153,0.119,Dustin Lynch , Chevrolet
185,-15,111,47,,1038,-12,0.526,Gala , Freed from Desire
186,+44,61,4,,1038,+209,0.292,Billie Eilish , LUNCH
187,NEW,1,187,,1029,+1029,0.001,Sam Smith & Alicia Keys , I'm Not The Only One
188,-72,131,17,,1024,-303,0.449,ILLIT , Magnetic
189,-92,1038,1,(x22),1016,-470,8.475,Fun. , We Are Young
190,-23,9,131,,1006,-57,0.017,A.R. Rahman & Dhanush , Adangaatha Asuran
191,+32,141,62,,1006,+154,0.309,Zaho de Sagazan , La symphonie des Ã©clairs
192,+39,4,162,,1002,+176,0.012,Alex Lloyd , Amazing
193,-67,11,79,,987,-290,0.070,Travis Scott , FEN
194,NEW,2,155,,984,+328,0.007,Kylie Morgan , Scratching the Surface
195,-16,26,48,,983,-12,0.050,Roland Kaiser , Mein Geheimnis
196,-12,15,50,,976,+9,0.029,Jelly Roll , Dead End Road
197,+14,32,89,,971,+93,0.068,Tony Effe & GAIA , SESSO E SAMBA
198,NEW,12,33,,970,+272,0.029,Felix Jaehn , Ready For Your Love
199,+2,13,58,,964,+55,0.019,Yuuri , Curtain Call
200,-40,32,12,,963,-122,0.085,BABYMONSTER , FOREVER
